1,1229,941,2144,1252,0.0,545.99
1,1244,948,2129,1249,13.87,493.11
1,1244,943,2137,1248,7.83,559.25
1,1281,949,2148,1247,170.58,459.69
1,1293,952,2146,1247,49.82,544.12
1,1294,953,2139,1247,-21.19,599.92
1,1299,953,2139,1247,20.23,572.91
1,1295,953,2141,1251,8.45,595.69
1,1302,953,2137,1249,4.63,654.49
5,2093,1009,2829,1323,-249.96,617.6
1,1296,949,2144,1252,0.0,647.38
1,1302,952,2142,1253,32.3,567.12
1,1307,953,2142,1254,26.94,540.47
1,1308,957,2139,1258,22.5,524.02
1,1311,959,2138,1259,18.62,521.54
6,2341,1095,2796,1328,439.27,479.65
1,1312,959,2135,1260,-4.24,592.55
6,2399,1108,2783,1302,135.46,549.5
7,1135,1155,1386,1308,-4.23,500.13
1,1316,960,2138,1260,34.02,595.2
6,2357,1096,2831,1338,127.48,526.67
1,1323,964,2133,1260,25.86,602.0
6,2368,1094,2832,1330,8.61,549.3
1,1329,965,2132,1260,22.54,525.15
6,2369,1093,2838,1331,26.27,474.68
1,1314,958,2132,1260,-93.99,596.64
6,2323,1088,2836,1348,-153.68,523.91
1,1336,967,2132,1260,128.35,577.44
6,2330,1087,2855,1354,128.25,524.85
1,1341,970,2128,1260,14.99,522.23
6,2357,1094,2865,1352,157.23,476.56
1,1333,968,2128,1260,-38.12,531.87
6,2373,1093,2867,1343,30.47,487.3
1,1340,970,2138,1264,95.4,579.11
6,2381,1092,2870,1340,29.01,526.97
1,1334,971,2142,1269,10.33,359.4
6,2373,1092,2873,1347,5.17,323.34
1,1328,972,2147,1275,22.92,531.03
6,2360,1096,2856,1349,-91.63,473.29
1,1327,972,2147,1277,4.34,604.14
6,2369,1093,2871,1350,95.45,551.61
1,1327,972,2155,1282,54.81,585.82
6,2378,1088,2886,1350,80.04,535.56
1,1331,972,2142,1276,-63.8,591.63
6,2384,1086,2885,1346,-4.25,535.79
1,1338,972,2132,1269,-45.0,626.95
6,2320,1078,2856,1353,-422.7,544.15
1,1344,976,2124,1267,0.0,526.24
6,2317,1077,2858,1354,-3.79,475.97
1,1332,973,2136,1274,12.81,444.45
5,2261,1080,2895,1355,172.87,430.46
1,1325,972,2130,1273,-55.66,515.0
5,2402,1102,2888,1316,433.84,514.48
1,1384,976,2217,1280,637.85,576.51
5,2368,1095,2857,1307,-328.82,533.79
1,1343,973,2168,1275,-411.64,580.7
5,2350,1098,2846,1310,-96.53,552.18
1,1333,972,2143,1269,-172.66,573.05
5,2386,1098,2861,1302,176.64,560.61
1,1328,976,2122,1267,-94.6,547.91
5,2394,1090,2879,1300,63.02,533.45
1,1314,973,2122,1270,-53.36,531.15
5,2408,1090,2880,1294,34.28,512.09
1,1357,972,2217,1283,635.3,601.86
6,2401,1079,2885,1329,181.96,536.47
1,1371,972,2258,1288,245.86,579.18
6,2402,1079,2870,1318,-102.37,515.91
1,1382,968,2276,1282,70.69,529.01
6,2356,1075,2861,1331,-171.02,455.31
1,1383,966,2294,1283,70.83,558.35
6,2443,1086,2884,1312,401.08,517.68
1,1382,969,2293,1284,7.72,546.34
6,2471,1090,2893,1308,142.78,491.96
1,1374,971,2300,1288,17.88,506.75
6,2478,1104,2873,1307,0.0,440.67
1,1374,975,2303,1293,45.21,534.08
6,2437,1092,2879,1319,-131.77,465.34
12,2255,1105,2562,1328,33.87,411.77
1,1342,981,2236,1291,-351.33,516.78
6,2428,1096,2873,1323,-25.87,458.88
1,1367,979,2274,1295,218.95,480.89
6,2414,1093,2881,1333,3.37,419.96
13,1115,1009,1549,1218,-37.01,433.77
1,1373,978,2278,1292,20.91,495.16
6,2414,1094,2882,1334,10.45,437.09
13,1105,1007,1549,1222,-27.85,444.58
1,1356,982,2263,1295,-93.83,528.41
5,2416,1106,2889,1315,18.75,495.19
13,1104,1007,1542,1219,-41.24,480.76
1,1353,987,2254,1296,-23.93,564.2
5,2432,1109,2885,1310,39.86,530.03
13,1109,1011,1535,1218,3.98,509.24
1,1357,985,2257,1292,3.89,555.15
5,2446,1110,2883,1304,27.21,517.91
